symbol,name,sector,status,observations,median_daily_turnover
A1CAP.IS,A1 CAPITAL YATIRIM MENKUL DEĞERLER A.Ş.,Other,PASS,790,91226783.45677662
ACSEL.IS,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,15599689.886631012
ADEL.IS,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,Other,PASS,1503,36361888.82267761
ADESE.IS,ADESE GAYRİMENKUL YATIRIM A.Ş.,Other,PASS,1503,97086456.36120111
ADGYO.IS,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,596,44391296.034454346
AEFES.IS,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,Other,PASS,1503,273281199.6506882
AFYON.IS,AFYON ÇİMENTO SANAYİ T.A.Ş.,Other,PASS,1502,55395314.46756077
AGESA.IS,AGESA HAYAT VE EMEKLİLİK A.Ş.,Other,PASS,1502,29813179.973571777
AGHOL.IS,AG ANADOLU GRUBU HOLDİNG A.Ş.,Other,PASS,1503,114121522.95436859
AGYO.IS,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,10528589.564103842
AHGAZ.IS,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,Other,PASS,907,126637872.21128368
AKBNK.IS,AKBANK T.A.Ş.,Other,PASS,1502,2908779745.46557
AKCNS.IS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,59446076.04650116
AKENR.IS,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,Other,PASS,1502,58839695.06064153
AKFGY.IS,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,79375419.07967162
AKFYE.IS,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,Other,PASS,853,152943009.95513916
AKGRT.IS,AKSİGORTA A.Ş.,Other,PASS,1502,59630560.82480264
AKMGY.IS,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,4021668.4366989136
AKSA.IS,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,Other,PASS,1503,118734090.22279549
AKSEN.IS,AKSA ENERJİ ÜRETİM A.Ş.,Other,PASS,1502,195191976.45137787
AKSGY.IS,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1503,25232689.263436794
AKSUE.IS,AKSU ENERJİ VE TİCARET A.Ş.,Other,PASS,1502,11066481.149246216
AKYHO.IS,AKDENİZ YATIRIM HOLDİNG A.Ş.,Other,PASS,1502,13384515.246250153
ALARK.IS,ALARKO HOLDİNG A.Ş.,Other,PASS,1502,364543497.8823948
ALBRK.IS,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,Other,PASS,1502,104797379.71708322
ALCAR.IS,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,32827180.969848633
ALCTL.IS,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,Other,PASS,1502,46284231.170604706
ALFAS.IS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,Other,PASS,935,207317385.41122437
ALGYO.IS,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1503,52563802.322472095
ALKA.IS,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,Other,PASS,1503,25713163.101127148
ALKIM.IS,ALKİM ALKALİ KİMYA A.Ş.,Other,PASS,1503,42338941.195364
ANELE.IS,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,Other,PASS,1502,20083251.315079212
ANGEN.IS,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,Other,PASS,1205,49079171.9872551
ANHYT.IS,ANADOLU HAYAT EMEKLİLİK A.Ş.,Other,PASS,1502,32993988.09064102
ANSGR.IS,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,Other,PASS,1503,58280498.648384094
ARASE.IS,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,Other,PASS,1192,36794585.6067009
ARCLK.IS,ARÇELİK A.Ş.,Other,PASS,1502,309980777.98005295
ARDYZ.IS,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,Other,PASS,1502,83849705.76801205
ARENA.IS,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,22760161.903091908
ARSAN.IS,ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.,Other,PASS,1503,22210365.265342712
ARZUM.IS,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,Other,PASS,1409,27124771.981609583
ASELS.IS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,2177902724.035452
ASGYO.IS,ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,596,38023511.81182766
ASTOR.IS,ASTOR ENERJİ A.Ş.,Other,PASS,890,1788029010.5367393
ASUZU.IS,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,51486318.32724953
ATAGY.IS,ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,3125715.3660902977
ATAKP.IS,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,Other,PASS,761,35450583.57923508
ATATP.IS,ATP YAZILIM VE TEKNOLOJİ A.Ş.,Other,PASS,1295,50258408.5859375
ATEKS.IS,AKIN TEKSTİL A.Ş.,Other,PASS,1502,6433380.998943329
ATLAS.IS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,4315975.419606268
ATSYH.IS,ATLANTİS YATIRIM HOLDİNG A.Ş.,Other,PASS,1502,2433211.759607315
AVGYO.IS,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,10555311.855098128
AVHOL.IS,AVRUPA YATIRIM HOLDİNG A.Ş.,Other,PASS,1502,26531568.867782593
AVOD.IS,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,Other,PASS,1502,33169391.24836445
AVTUR.IS,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,Other,PASS,1502,5650011.95791626
AYCES.IS,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,Other,PASS,1502,11669326.75
AYDEM.IS,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,Other,PASS,1320,59937435.71503258
AYEN.IS,AYEN ENERJİ A.Ş.,Other,PASS,1502,21980732.632695675
AYES.IS,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,Other,PASS,1503,1191730.273168087
AYGAZ.IS,AYGAZ A.Ş.,Other,PASS,1502,49326395.4804039
AZTEK.IS,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,Other,PASS,1000,59485010.65714359
BAGFS.IS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,Other,PASS,1502,39427437.558188915
BAKAB.IS,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,8906163.137176514
BALAT.IS,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,1742990.6563465595
BANVT.IS,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.,Other,PASS,1502,20350718.154067993
BARMA.IS,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,Other,PASS,604,34267719.878977776
BASCM.IS,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,859303.538151741
BASGZ.IS,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1294,38130076.26063633
BAYRK.IS,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,Other,PASS,1503,25065335.3432765
BERA.IS,BERA HOLDİNG A.Ş.,Other,PASS,1502,129304560.68942833
BEYAZ.IS,BEYAZ FİLO OTO KİRALAMA A.Ş.,Other,PASS,1502,23512704.809731483
BFREN.IS,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,38031644.41371155
BIENY.IS,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,Other,PASS,810,100818499.76606655
BIGCH.IS,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,Other,PASS,597,41973264.66360092
BIMAS.IS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,Other,PASS,1505,1130166832.184433
BIOEN.IS,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,Other,PASS,1323,73825182.248909
BIZIM.IS,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,Other,PASS,1502,19432527.33183384
BLCYT.IS,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,18184502.585551262
BMSCH.IS,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,Other,PASS,1295,23019097.040948868
BMSTL.IS,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,Other,PASS,1076,71017589.339468
BNTAS.IS,BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.,Other,PASS,1502,29058984.540674448
BOBET.IS,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,Other,PASS,1300,69431833.8273201
BOSSA.IS,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,Other,PASS,1503,15699965.698049545
BRISA.IS,BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,23820494.77387905
BRKO.IS,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,Other,PASS,1502,2800058.3335864544
BRKSN.IS,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,Other,PASS,1503,6449602.301301956
BRKVY.IS,BİRİKİM VARLIK YÖNETİM A.Ş.,Other,PASS,915,51327592.43939209
BRLSM.IS,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,Other,PASS,1248,48732914.366984844
BRMEN.IS,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,Other,PASS,1502,861766.7886881828
BRSAN.IS,BORUSAN MANNESMANN BORU SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,198386970.0369072
BRYAT.IS,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,Other,PASS,1502,93934325.45343018
BSOKE.IS,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,Other,PASS,1502,69584255.2392683
BTCIM.IS,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,Other,PASS,1503,80274470.37898982
BUCIM.IS,BURSA ÇİMENTO FABRİKASI A.Ş.,Other,PASS,1502,45576128.29538512
BURCE.IS,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,Other,PASS,1503,28693886.876296997
BURVA.IS,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,10647148.493966103
BVSAN.IS,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,Other,PASS,876,87234333.9837799
BYDNR.IS,BAYDÖNER RESTORANLARI A.Ş.,Other,PASS,746,15815882.439358711
CANTE.IS,ÇAN2 TERMİK A.Ş.,Other,PASS,1321,194805644.34307203
CASA.IS,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.,Other,PASS,1501,1646160.5739974976
CCOLA.IS,COCA-COLA İÇECEK A.Ş.,Other,PASS,1503,175720243.64898682
CELHA.IS,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,Other,PASS,1502,11467824.32636261
CEMAS.IS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,Other,PASS,1502,85944951.959687
CEMTS.IS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,54940530.03828275
CEOEM.IS,CEO EVENT MEDYA A.Ş.,Other,PASS,1502,32052453.92638588
CIMSA.IS,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,239208776.33117104
CLEBI.IS,ÇELEBİ HAVA SERVİSİ A.Ş.,Other,PASS,1502,67799814.5232544
CMBTN.IS,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,31936249.5
CMENT.IS,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,Other,PASS,1502,1708916.1048202515
CONSE.IS,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,Other,PASS,1078,33394179.78141439
COSMO.IS,COSMOS YATIRIM HOLDİNG A.Ş.,Other,PASS,1502,4203062.240693092
CRDFA.IS,CREDITWEST FAKTORİNG A.Ş.,Other,PASS,1503,25598354.129898548
CRFSA.IS,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,Other,PASS,1502,27816136.384757996
CUSAN.IS,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,Other,PASS,1502,14650596.893699646
CVKMD.IS,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,Other,PASS,835,347707884.4491577
CWENE.IS,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,Other,PASS,817,378394587.65345764
DAGI.IS,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,Other,PASS,1503,21049396.431484222
DAPGM.IS,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,Other,PASS,1117,115839239.36798668
DARDL.IS,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,Other,PASS,1502,38493962.87947965
DENGE.IS,DENGE YATIRIM HOLDİNG A.Ş.,Other,PASS,1502,28374891.48394203
DERHL.IS,DERLÜKS YATIRIM HOLDİNG A.Ş.,Other,PASS,1508,30430843.84078403
DERIM.IS,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,13138386.83991623
DESA.IS,DESA DERİ SANAYİ VE TİCARET A.Ş.,Other,PASS,1503,13876211.790748596
DESPC.IS,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,Other,PASS,1502,12026559.17757082
DEVA.IS,DEVA HOLDİNG A.Ş.,Other,PASS,1502,42446538.139442444
DGATE.IS,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,Other,PASS,1502,13428954.526473999
DGGYO.IS,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,4687084.076644421
DGNMO.IS,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,28857395.869297385
DIRIT.IS,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,1136395.707649231
DITAS.IS,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,Other,PASS,1502,10578774.633021355
DMRGD.IS,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,Other,PASS,597,77499651.91564941
DMSAS.IS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,Other,PASS,1502,18507217.120040894
DNISI.IS,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,Other,PASS,1488,16499422.151140213
DOAS.IS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,Other,PASS,1502,183990923.31536102
DOGUB.IS,DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.,Other,PASS,1502,12545604.500994205
DOHOL.IS,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,Other,PASS,1502,350461128.4468217
DOKTA.IS,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,Other,PASS,1502,9748162.655952454
DURDO.IS,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,Other,PASS,1503,11550103.70609665
DYOBY.IS,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,Other,PASS,1503,32078811.71269226
DZGYO.IS,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,22678163.33305669
EBEBK.IS,EBEBEK MAĞAZACILIK A.Ş.,Other,PASS,596,34473529.716682434
ECILC.IS,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,143616565.26187158
ECZYT.IS,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,Other,PASS,1502,71261786.8182373
EDATA.IS,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,Other,PASS,1278,31248639.248314083
EDIP.IS,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,24857410.820670605
EGEEN.IS,EGE ENDÜSTRİ VE TİCARET A.Ş.,Other,PASS,1502,124205315.0
EGEPO.IS,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,Other,PASS,1242,20555817.270679474
EGGUB.IS,EGE GÜBRE SANAYİİ A.Ş.,Other,PASS,1502,36633172.52624321
EGPRO.IS,EGE PROFİL TİCARET VE SANAYİ A.Ş.,Other,PASS,1503,21153337.42887497
EGSER.IS,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,15502435.65587926
EKGYO.IS,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,1748114506.5925293
EKIZ.IS,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,1177144.8754329681
EKSUN.IS,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,Other,PASS,848,40515141.07995129
ELITE.IS,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,Other,PASS,1189,48337154.19921875
EMKEL.IS,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,Other,PASS,1502,34693639.51340771
EMNIS.IS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,1015768.6763496399
ENERY.IS,ENERYA ENERJİ A.Ş.,Other,PASS,746,213299054.80423903
ENJSA.IS,ENERJİSA ENERJİ A.Ş.,Other,PASS,1502,196660219.48480606
ENKAI.IS,ENKA İNŞAAT VE SANAYİ A.Ş.,Other,PASS,1502,562476656.3359833
ENSRI.IS,ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.,Other,PASS,1099,43432326.658893585
EPLAS.IS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,Other,PASS,1502,14551431.268604279
ERBOS.IS,ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.,Other,PASS,1502,31484143.627080917
ERCB.IS,ERCİYAS ÇELİK BORU SANAYİ A.Ş.,Other,PASS,1146,53837638.55635834
EREGL.IS,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,Other,PASS,1503,2981041286.4513474
ERSU.IS,ERSU MEYVE VE GIDA SANAYİ A.Ş.,Other,PASS,1502,13320035.913947582
ESCAR.IS,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,Other,PASS,1272,34022831.78823686
ESCOM.IS,ESCORT TEKNOLOJİ YATIRIM A.Ş.,Other,PASS,1503,31101782.204655647
ESEN.IS,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,Other,PASS,1463,75077904.35212135
ETILR.IS,ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.,Other,PASS,1503,14400904.063985825
ETYAT.IS,EURO TREND YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1503,3180559.186016321
EUHOL.IS,EURO YATIRIM HOLDİNG A.Ş.,Other,PASS,1502,12955354.246905804
EUKYO.IS,EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1503,3782768.58296299
EUPWR.IS,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.,Other,PASS,829,364596968.559288
EUREN.IS,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,Other,PASS,1047,177050701.51273346
EUYO.IS,EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1503,3074890.1648511887
EYGYO.IS,EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,597,28830850.812305927
FADE.IS,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,Other,PASS,1502,22399546.226938725
FLAP.IS,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.,Other,PASS,1502,25506166.394602776
FMIZP.IS,FEDERAL-MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.,Other,PASS,1502,22586677.15686035
FONET.IS,FONET BİLGİ TEKNOLOJİLERİ A.Ş.,Other,PASS,1503,43219467.85125589
FORMT.IS,FORMET METAL VE CAM SANAYİ A.Ş.,Other,PASS,1502,58993947.52689737
FORTE.IS,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.,Other,PASS,596,66818193.85410309
FRIGO.IS,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,Other,PASS,1505,25168355.818623006
FROTO.IS,FORD OTOMOTİV SANAYİ A.Ş.,Other,PASS,1503,778572302.1116638
FZLGY.IS,FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,597,105088346.387043
GARAN.IS,TÜRKİYE GARANTİ BANKASI A.Ş.,Other,PASS,1502,1971820821.27742
GARFA.IS,GARANTİ FAKTORİNG A.Ş.,Other,PASS,1503,7650457.432973385
GEDIK.IS,GEDİK YATIRIM MENKUL DEĞERLER A.Ş.,Other,PASS,1503,11668788.479279518
GEDZA.IS,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,15205500.720623016
GENIL.IS,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,Other,PASS,1259,96903000.33358991
GENTS.IS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.,Other,PASS,1503,17011704.34741497
GEREL.IS,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.,Other,PASS,1503,55223786.27839279
GESAN.IS,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.,Other,PASS,1249,257643350.96066284
GIPTA.IS,GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.,Other,PASS,596,127354893.22481918
GLBMD.IS,GLOBAL MENKUL DEĞERLER A.Ş.,Other,PASS,1503,5327267.171901941
GLCVY.IS,GELECEK VARLIK YÖNETİMİ A.Ş.,Other,PASS,1205,30483999.06626129
GLRYH.IS,GÜLER YATIRIM HOLDİNG A.Ş.,Other,PASS,1503,28357295.737044096
GLYHO.IS,GLOBAL YATIRIM HOLDİNG A.Ş.,Other,PASS,1503,108692987.6139412
GMTAS.IS,GİMAT MAĞAZACILIK SANAYİ VE TİCARET A.Ş.,Other,PASS,1191,21866146.419826508
GOKNR.IS,GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.,Other,PASS,858,102394416.418499
GOLTS.IS,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,46361587.4740448
GOODY.IS,GOODYEAR LASTİKLERİ T.A.Ş.,Other,PASS,1506,28236814.624316216
GOZDE.IS,GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,61719836.408267975
GRNYO.IS,GARANTİ YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,3746415.3869638443
GRSEL.IS,GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş.,Other,PASS,1108,88978893.47384644
GSDDE.IS,GSD DENİZCİLİK GAYRİMENKUL İNŞAAT SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,18291478.349660993
GSDHO.IS,GSD HOLDİNG A.Ş.,Other,PASS,1502,72085812.26853925
GUBRF.IS,GÜBRE FABRİKALARI T.A.Ş.,Other,PASS,1502,776870314.0801449
GWIND.IS,GALATA WIND ENERJİ A.Ş.,Other,PASS,1324,82684333.5263052
GZNMI.IS,GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.,Other,PASS,1108,41424654.2215147
HALKB.IS,TÜRKİYE HALK BANKASI A.Ş.,Other,PASS,1502,710648140.660778
HATEK.IS,HATEKS HATAY TEKSTİL İŞLETMELERİ A.Ş.,Other,PASS,1502,18230569.29594803
