symbol,row_count,missing_values,zero_volume_days,price_anomalies,status
THYAO.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
PGSUS.IS,1503,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
AKBNK.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
GARAN.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
ISCTR.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
YKBNK.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
KCHOL.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
SAHOL.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
ASELS.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
EREGL.IS,1503,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",4.0,0.0,PASS
KRDMD.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
TUPRS.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
PETKM.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
SISE.IS,1502,"{'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0, 'dividends': 0, 'stock_splits': 0}",3.0,0.0,PASS
