date,open,high,low,close,volume,dividends,stock_splits,macro_usdtry_close,macro_usdtry_return,macro_eurtry_close,macro_eurtry_return,macro_bist100_close,macro_bist100_return,macro_gold_close,macro_gold_return,macro_brent_close,macro_brent_return,macro_sp500_close,macro_sp500_return,sma_20,sma_50,sma_200,rsi_14,rsi_7,macd_12_26_9,macdh_12_26_9,macds_12_26_9,bbb_20_2.0_2.0,bbl_20_2.0_2.0,bbm_20_2.0_2.0,bbp_20_2.0_2.0,bbu_20_2.0_2.0,atrr_14,adxr_14_2,adx_14,dmn_14,dmp_14,rsi_14_slope_3,rsi_14_slope_5,rsi_14_accel_5,macd_12_26_9_slope_3,macd_12_26_9_slope_5,macd_12_26_9_accel_5,macdh_12_26_9_slope_3,macdh_12_26_9_slope_5,macdh_12_26_9_accel_5,dist_sma_20,ma_slope_20,dist_sma_50,ma_slope_50,dist_sma_200,ma_slope_200,bb_width,bb_pct,bb_width_trend,rolling_std_20,volatility_regime,return_1d,return_3d,return_5d,return_10d,return_20d,dist_20d_high,dist_20d_low,high_low_range_pct,volume_sma_5,volume_sma_20,volume_sma_50,relative_volume,volume_change_1d,volume_zscore_20,obv,obv_change_5,pv_corr_20,volume_spike,event_count_1d,event_count_5d,event_count_20d,max_event_importance_5d,days_since_last_event,positive_event_count_5d,negative_event_count_5d,contract_event_count_20d,financial_event_count_20d,target_return_1d,target_up_1d,target_gt_2pct_1d,target_gt_5pct_1d,target_return_3d,target_up_3d,target_gt_2pct_3d,target_gt_5pct_3d,target_return_5d,target_up_5d,target_gt_2pct_5d,target_gt_5pct_5d,target_return_10d,target_up_10d,target_gt_2pct_10d,target_gt_5pct_10d,target_return_20d,target_up_20d,target_gt_2pct_20d,target_gt_5pct_20d,target_max_loss_5d,target_max_gain_5d,target_max_loss_20d,target_max_gain_20d,symbol,sector,sector_mean_return_1d,rel_sector_return_1d,sector_mean_rsi,rel_sector_rsi,market_z_rsi_14,market_z_relative_volume,market_z_rolling_std_20,target_excess_mkt_1d,target_excess_sec_1d,target_rank_1d,target_outperform_1d,target_label_1d,target_excess_mkt_3d,target_excess_sec_3d,target_rank_3d,target_outperform_3d,target_label_3d,target_excess_mkt_5d,target_excess_sec_5d,target_rank_5d,target_outperform_5d,target_label_5d,target_excess_mkt_10d,target_excess_sec_10d,target_rank_10d,target_outperform_10d,target_label_10d,target_excess_mkt_20d,target_excess_sec_20d,target_rank_20d,target_outperform_20d,target_label_20d
2020-08-14,3.9888880252838135,4.122221946716309,3.838887929916382,4.050000190734863,4559400,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06995901319908739,,,,,,,0.0,,,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,-0.02400574747694273,0,0,0,-0.017832884713967045,0,0,0,-0.03429359698384615,0,0,0,0.04732484947841087,1,1,0,0.02057605222649972,1,1,0,,,,,TURGG.IS,Other,,,,,,,,-0.029123454230678254,-0.029123454230678254,0.16574585635359115,0,0,-0.041214368234535254,-0.041214368234535254,0.212707182320442,0,1,-0.053554574878446635,-0.053554574878446635,0.1850828729281768,0,0,-0.0040481845203825945,-0.0040481845203825945,0.5773480662983426,1,2,-0.1275112033652906,-0.1275112033652906,0.27900552486187846,0,1
2020-08-17,3.955554962158203,4.03055477142334,3.9083330631256095,3.952776908874512,1528956,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02400574747694273,,,,,,,0.03092046708310968,,,,,-0.6646585076983813,,-1528956.0,,,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,-0.0021081300438359207,0,0,0,-0.0077300112164992996,0,0,0,0.054111103899910695,1,1,1,0.17568538503908626,1,1,1,0.05130010299684873,1,1,1,,,,,TURGG.IS,Other,0.005117706753735523,-0.029123454230678254,47.21407624633431,-47.21407624633431,-0.9443629811722483,,,-0.008974872559831464,-0.008974872559831464,0.34806629834254144,0,1,-0.03141478140838377,-0.03141478140838377,0.2569060773480663,0,1,0.029633362059517044,0.029633362059517044,0.7403314917127072,1,3,0.12832568888508708,0.12832568888508708,0.8950276243093923,1,4,-0.11723353319885266,-0.11723353319885266,0.35911602209944754,0,1
2020-08-18,3.9888880252838135,3.994443893432617,3.9138879776000977,3.944443941116333,1277406,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0021081300438359207,,,,,,,0.020422629155104958,,,,,-0.1645240281603918,,-2806362.0,,,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.00845063680032343,1,0,0,-0.00845057635616886,0,0,0,0.01690145493311035,1,0,0,0.24507052231063264,1,1,1,0.08873244195532726,1,1,1,,,,,TURGG.IS,Other,0.006866742515995544,-0.008974872559831464,50.362451924052976,-50.362451924052976,-1.0921740676520175,,,-0.0022872882258003283,-0.0022872882258003283,0.5027624309392266,1,2,-0.01516330339929039,-0.01516330339929039,0.3425414364640884,0,1,0.00809216203746345,0.00809216203746345,0.6215469613259669,1,3,0.19645443451205874,0.19645443451205874,0.930939226519337,1,4,-0.09415970632753254,-0.09415970632753254,0.5138121546961326,1,2
2020-08-19,3.944443941116333,4.038887977600098,3.930555105209351,3.977777004241944,1253718,0.0,0.0,,,,,,,,,,,,,,,,2.7441514760466617,6.16729536134688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00845063680032343,-0.017832884713967045,,,,,,0.02723452628823066,,,,,-0.018543830230952407,,-1552644.0,,,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,-0.013966369947361668,0,0,0,0.04748607738453203,1,1,0,0.00838000178134668,1,0,0,0.19832407156890253,1,1,1,0.1585197224215813,1,1,1,,,,,TURGG.IS,Other,0.010737925026123758,-0.0022872882258003283,53.51430610136865,-50.77015462532199,-1.203516903620417,,,-0.019661107968856534,-0.019661107968856534,0.20165745856353592,0,1,0.0405837869786033,0.0405837869786033,0.8287292817679558,1,4,0.0016061583852900732,0.0016061583852900732,0.6215469613259669,1,3,0.15397433114468081,0.15397433114468081,0.9171270718232044,1,4,-0.03851921821150853,-0.03851921821150853,0.649171270718232,1,3
2020-08-20,3.9888880252838135,3.9888880252838135,3.888887882232666,3.9222218990325928,957240,0.0,0.0,,,,,,,,,,,,,,,,2.615335727877219,5.506908875406393,,,,,,,,,,,,,,2.615335727877219,,,,,,,,,,,,,,,,,,,,-0.013966369947361668,-0.0077300112164992996,,,,,,0.025495789281022644,1915344.0,,,,-0.23647901681239325,,-2509884.0,,,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,-0.00283277767278578,0,0,0,0.02266289003501365,1,1,0,0.03965992079139791,1,1,0,0.15155798213007343,1,1,1,0.14589230521127883,1,1,1,-0.021954604436899894,0.06940511972804564,,,TURGG.IS,Other,0.005694738021494867,-0.019661107968856534,54.36039656035875,-51.745060832481535,-1.3117149460121218,,,0.006560834818663128,0.006560834818663128,0.6298342541436464,1,3,0.02959814980220562,0.02959814980220562,0.7845303867403315,1,3,0.02087691164673574,0.02087691164673574,0.7209944751381215,1,3,0.11247791335408812,0.11247791335408812,0.8701657458563536,1,4,-0.0610611633592944,-0.0610611633592944,0.6215469613259669,1,3
2020-08-21,3.927777051925659,3.9805550575256343,3.836111068725586,3.9111111164093018,1142694,0.0,0.0,,,,,,,,,,,,,,,,2.5891584270002,5.372675199870842,,,,,,,,,,,,,,2.5891584270002,,,,,,,,,,,,,,,,,,,,-0.00283277767278578,-0.00845057635616886,-0.03429359698384615,,,,,0.036931701631800984,1232002.8,,,,0.19373824746145174,,-3652578.0,-inf,,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.06534074508962195,1,1,1,0.025568096440531818,1,1,0,0.08451683265984489,1,1,1,0.15056818025956353,1,1,1,0.15056818025956353,1,1,1,0.011363483272677888,0.08735777967713387,,,TURGG.IS,Other,-0.009393612491448908,0.006560834818663128,51.67864628028344,-49.08948785328324,-1.3402721557688075,,,0.054521528341319105,0.054521528341319105,0.9033149171270718,1,4,0.01491690826523878,0.01491690826523878,0.7320441988950276,1,3,0.05218013242645815,0.05218013242645815,0.861878453038674,1,4,0.09299168207228917,0.09299168207228917,0.8646408839779005,1,4,-0.07724249766635849,-0.07724249766635849,0.6243093922651933,1,3
2020-08-24,3.9861109256744394,4.166666030883789,3.983333110809326,4.166666030883789,2418516,0.0,0.0,,,,,,,,,,,,,,,,21.941798812244926,42.79204094223314,,,,,,,,,,,,,,19.197647336198266,21.941798812244926,16.582311608321046,,,,,,,,,,,,,,,,,,0.06534074508962195,0.04748607738453203,0.054111103899910695,,,,,0.04399990753172417,1409914.8,,,,1.1165036308933098,,-1234062.0,-0.19287278378187467,,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,-0.03733326527912373,0,0,0,-0.02133339253744393,0,0,0,0.11533346028647773,1,1,1,0.06533330006916804,1,1,1,0.1240000723266712,1,1,1,-0.050666664225260005,0.12200021698001362,,,TURGG.IS,Other,0.010819216748302848,0.054521528341319105,53.184969143933834,-31.24317033168891,-0.9030935993061642,,,-0.028728805436069933,-0.028728805436069933,0.14917127071823205,0,0,-0.03822671212414211,-0.03822671212414211,0.19613259668508287,0,0,0.09313845716835836,0.09313845716835836,0.9005524861878453,1,4,-0.006049370475227134,-0.006049370475227134,0.6519337016574586,1,3,-0.08956811621721766,-0.08956811621721766,0.6104972375690608,1,3
2020-08-25,4.194444179534912,4.194444179534912,3.9888880252838135,4.011110782623291,1435050,0.0,0.0,,,,,,,,,,,,,,,,19.413533556806183,33.40989488380037,,,,,,,,,,,,,,16.798197828928963,19.413533556806183,14.209039401928763,,,,,,,,,,,,,,,,,,-0.03733326527912373,0.02266289003501365,0.01690145493311035,,,,,0.05124669085221916,1441443.6,,,,-0.40664027031452343,,-2669112.0,-0.048906734056404666,,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.057479104921368096,1,1,1,0.22437677345297002,1,1,1,0.17590026235424094,1,1,1,0.21191146979835374,1,1,1,-0.013850482690671018,0.2430749072535141,,,TURGG.IS,Other,-0.008604459843053794,-0.028728805436069933,50.57883358640882,-31.165300029602637,-0.9541399020230862,,,-0.008243164332864704,-0.008243164332864704,0.42679558011049723,0,2,0.027708780205159503,0.027708780205159503,0.8259668508287292,1,4,0.18572142257196905,0.18572142257196905,0.9502762430939227,1,4,0.08479480406120471,0.08479480406120471,0.8370165745856354,1,4,-0.03574058922825296,-0.03574058922825296,0.7099447513812155,1,3
2020-08-26,3.966665983200073,4.055554866790772,3.955554962158203,4.011110782623291,646272,0.0,0.0,,,,,,,,,,,,,,,,19.41353355680618,33.40989488380037,,,,,,,,,,,,,,16.82437512980598,16.66938208075952,-2.3732722063922864,,,,,,,,,,,,,,,,,,0.0,0.025568096440531818,0.00838000178134668,,,,,0.02493072618831253,1319954.4,,,,-0.5496519285042333,,-2669112.0,0.7190753321431056,,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.01662036524646182,1,0,0,0.1585873075897517,1,1,1,0.18836556600885723,1,1,1,0.14958459488803322,1,1,1,0.19944604726465776,1,1,1,-0.008310360941850337,0.28670364836329076,,,TURGG.IS,Other,0.008243164332864704,-0.008243164332864704,52.141693165183554,-32.728159608377375,-1.0528811347452678,,,-0.0006084979702015748,-0.0006084979702015748,0.5911602209944752,1,2,0.1365337076277663,0.1365337076277663,0.9419889502762431,1,4,0.151988952753347,0.151988952753347,0.9475138121546961,1,4,0.05571723427039191,0.05571723427039191,0.8176795580110497,1,4,-0.05856571182575837,-0.05856571182575837,0.6685082872928176,1,3
2020-08-27,4.016665935516357,4.191666126251221,3.977777004241944,4.077776908874512,1337814,0.0,0.0,,,,,,,,,,,,,,,,23.778850877840267,40.96071940478872,,,,,,,,,,,,,,1.8370520655953406,21.163515149963047,-14.961145763333622,,,,,,,,,,,,,,,,,,0.01662036524646182,-0.02133339253744393,0.03965992079139791,,,,,0.05245238442146936,1396069.2,,,,1.0700479055258465,,-1331298.0,-0.46957787690586494,,0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.04019075465304156,1,1,0,0.20435987248410203,1,1,1,0.10762948450825904,1,1,1,0.0933244056925171,1,1,1,0.15395105404551468,1,1,1,-0.005449548266207804,0.26566778745510544,,,TURGG.IS,Other,0.017228863216663396,-0.0006084979702015748,54.642624761136744,-30.863773883296478,-1.0522973757212981,,,0.03651453921102588,0.03651453921102588,0.8977900552486188,1,4,0.19224487313267938,0.19224487313267938,0.9723756906077348,1,4,0.08871873852616916,0.08871873852616916,0.9005524861878453,1,4,0.010115914163540574,0.010115914163540574,0.7320441988950276,1,3,-0.09700076689133708,-0.09700076689133708,0.6049723756906077,1,3
